reportingNode,reportTs,eventTs,eventType,hMcc,hMnc,hashedImsi,vMcc,vMnc,rat,cellName,gsmLac,gsmCid,umtsLac,umtsSac,umtsRncId,umtsCi,lteEnodeBId,lteCi,cellPortionId,locationEstimateShape,locationEstimateLat,locationEstimateLon,locationEstimateRadius,crmGender,crmAgeGroup,crmZipCode,presencePointId,groupPresencePointId
reportingNode45,1609262359319,1599184369942,1,240,12,D,240,10,1,,,,,,,,,,,,,,,1,2,90966,,CRLF
reportingNode82,1596507507336,1611849383018,1,244,12,A,240,10,0,,,,,,,,,,,,,,,3,3,21771,,CRLF
reportingNode56,1593150970707,1600758427833,1,240,11,B,240,10,3,,,,240103478,20375,520,20375,,,,,,,,1,5,48234,,CRLF
reportingNode17,1597925131365,1611011899938,1,244,10,C,240,10,3,,,,24010BB7B,88823,590,88823,,,,,,,,3,5,48641,,CRLF
reportingNode60,1598521993032,1604086312936,1,244,11,D,240,10,0,,,,,,,,,,,,,,,1,3,67645,,CRLF
reportingNode43,1599552720253,1610136974794,1,244,10,B,240,10,3,,,,24010E5C4,53301,250,53301,,,,,,,,2,1,70802,,CRLF
reportingNode83,1607109593214,1595136789569,1,240,10,C,240,10,2,,5642,240105642,,,,,,,,,,,,2,1,72397,,CRLF
reportingNode4,1601876106605,1603740763762,1,244,11,C,240,10,3,,,,24010330E,39333,892,39333,,,,,,,,3,6,43963,,CRLF
reportingNode96,1608073912599,1611227984080,1,240,11,C,240,10,1,,,,,,,,,,,,,,,2,2,74931,,CRLF
reportingNode64,1607226868374,1601846498186,1,244,10,C,240,10,0,,,,,,,,,,,,,,,3,1,58157,,CRLF
reportingNode53,1605587291400,1594849436727,1,244,11,A,240,10,2,,F5B0,24010F5B0,,,,,,,,,,,,1,1,10801,,CRLF
reportingNode28,1598692696086,1610759804647,1,240,11,A,240,10,1,,,,,,,,,,,,,,,1,1,88254,,CRLF
reportingNode23,1607100530778,1607440792317,1,244,12,B,240,10,3,,,,24010F55C,49224,738,49224,,,,,,,,3,4,90691,,CRLF
reportingNode2,1596314915289,1597907301935,1,240,10,A,240,10,2,,3A60,240103A60,,,,,,,,,,,,2,5,71555,,CRLF
reportingNode26,1608614536802,1609884658804,1,244,11,B,240,10,0,,,,,,,,,,,,,,,1,1,67902,,CRLF
reportingNode52,1609862713836,1602749918781,1,240,12,A,240,10,0,,,,,,,,,,,,,,,3,3,68079,,CRLF
reportingNode73,1608820217812,1601652612664,1,240,11,C,240,10,0,,,,,,,,,,,,,,,2,2,64292,,CRLF
reportingNode40,1614380804435,1603716360457,1,240,11,C,240,10,0,,,,,,,,,,,,,,,2,5,61790,,CRLF
reportingNode58,1593544479465,1594854622802,1,244,10,C,240,10,1,,,,,,,,,,,,,,,1,1,98555,,CRLF
reportingNode96,1597825548655,1601853360831,1,244,10,B,240,10,0,,,,,,,,,,,,,,,1,6,37219,,CRLF
reportingNode65,1596689508884,1594154053679,1,244,10,D,240,10,2,,D5BB,24010D5BB,,,,,,,,,,,,3,3,21012,,CRLF
reportingNode66,1598914282265,1593985863248,1,244,11,A,240,10,1,,,,,,,,,,,,,,,1,5,64843,,CRLF
reportingNode26,1607009015084,1602452060951,1,240,10,A,240,10,0,,,,,,,,,,,,,,,3,5,21246,,CRLF
reportingNode87,1607159553209,1606292422181,1,244,11,D,240,10,1,,,,,,,,,,,,,,,3,2,59860,,CRLF
reportingNode2,1607021626747,1601507345355,1,244,11,B,240,10,0,,,,,,,,,,,,,,,1,3,18422,,CRLF
reportingNode74,1609825129690,1597706624785,1,244,10,C,240,10,3,,,,240104969,90738,234,90738,,,,,,,,1,3,37686,,CRLF
reportingNode24,1613616627692,1597603363305,1,240,12,B,240,10,0,,,,,,,,,,,,,,,1,3,41443,,CRLF
reportingNode79,1596537792553,1603120114427,1,244,11,C,240,10,1,,,,,,,,,,,,,,,1,3,16637,,CRLF
reportingNode24,1604493100674,1594784468314,1,240,12,B,240,10,2,,4AD6,240104AD6,,,,,,,,,,,,2,6,36424,,CRLF
reportingNode41,1607853837996,1604979341918,1,244,12,D,240,10,0,,,,,,,,,,,,,,,3,6,69564,,CRLF
reportingNode48,1613483933419,1595948715280,1,240,10,D,240,10,3,,,,24010AA9D,98316,130,98316,,,,,,,,3,6,91417,,CRLF
reportingNode96,1606423161938,1595351233361,1,240,12,B,240,10,3,,,,24010C61C,49076,275,49076,,,,,,,,3,3,79438,,CRLF
reportingNode20,1595086202359,1606915074629,1,244,12,D,240,10,1,,,,,,,,,,,,,,,3,6,42790,,CRLF
reportingNode25,1614121018054,1612857232698,1,240,10,A,240,10,3,,,,2401024B6,22803,315,22803,,,,,,,,1,2,82478,,CRLF
reportingNode51,1607383459373,1602935013828,1,244,10,B,240,10,3,,,,240100651,30449,236,30449,,,,,,,,3,3,49073,,CRLF
reportingNode36,1598416359323,1593255833668,1,240,11,A,240,10,3,,,,240100127,19840,191,19840,,,,,,,,1,4,28978,,CRLF
reportingNode75,1599023551420,1607810248527,1,244,12,C,240,10,0,,,,,,,,,,,,,,,1,2,84522,,CRLF
reportingNode60,1603629567108,1614718276938,1,240,12,B,240,10,3,,,,240102BCC,95613,827,95613,,,,,,,,1,5,94050,,CRLF
reportingNode40,1598891097214,1593973399802,1,240,12,D,240,10,0,,,,,,,,,,,,,,,3,1,39441,,CRLF
reportingNode21,1595086746100,1602336917389,1,244,10,A,240,10,1,,,,,,,,,,,,,,,1,5,20566,,CRLF
reportingNode30,1608050566050,1612123886088,1,240,12,A,240,10,2,,779B,24010779B,,,,,,,,,,,,2,2,88020,,CRLF
