reportingNode,reportTs,eventTs,eventType,hMcc,hMnc,hashedImsi,vMcc,vMnc,rat,cellName,gsmLac,gsmCid,umtsLac,umtsSac,umtsRncId,umtsCi,lteEnodeBId,lteCi,cellPortionId,locationEstimateShape,locationEstimateLat,locationEstimateLon,locationEstimateRadius,crmGender,crmAgeGroup,crmZipCode,presencePointId,groupPresencePointId
reportingNode51,1594716736865,1594729883393,1,244,10,EFE93456B13BAE3,240,10,3,,,,24010F9F0,49138,682,49138,,,,,,,,2,1,15587,3,CRLF
reportingNode76,1614312401810,1611673180289,1,240,12,6301AC8BAD15E6A,240,10,1,,,,,,,,,,,,,,,3,3,10803,3,CRLF
reportingNode5,1596970131733,1607538858703,1,244,11,7B5293ACF6A6FD7,240,10,0,,,,,,,,,,,,,,,2,1,22670,3,CRLF
reportingNode65,1605065857625,1596078077531,1,240,11,AA74C0C05375F8D,240,10,2,,3222,240103222,,,,,,,,,,,,3,1,54526,1,CRLF
reportingNode20,1603190343622,1605009549833,1,244,11,DA164D25AEE68AF,240,10,0,,,,,,,,,,,,,,,3,6,77408,1,CRLF
reportingNode84,1596523864245,1614461883529,1,240,11,392895D6C190B96,240,10,1,,,,,,,,,,,,,,,2,5,72622,1,CRLF
reportingNode83,1614154241794,1602320315459,1,244,11,BD5ABE729B18CEE,240,10,0,,,,,,,,,,,,,,,1,1,69818,1,CRLF
reportingNode94,1607841712485,1602802082212,1,244,10,080652AF603182F,240,10,2,,A551,24010A551,,,,,,,,,,,,3,3,43073,2,CRLF
reportingNode66,1613216094969,1593996502431,1,244,12,110B0F7E2D88DCD,240,10,0,,,,,,,,,,,,,,,3,4,15599,1,CRLF
reportingNode34,1599263171410,1597364605746,1,240,10,E378351AD5B5035,240,10,0,,,,,,,,,,,,,,,3,6,26671,1,CRLF
reportingNode86,1603464490754,1594846793647,1,244,11,09805C1824563FC,240,10,2,,B75D,24010B75D,,,,,,,,,,,,2,1,78201,2,CRLF
reportingNode85,1613046609655,1606612602218,1,244,12,D715A138E97805C,240,10,0,,,,,,,,,,,,,,,2,2,92246,1,CRLF
reportingNode60,1598192495201,1603406439991,1,240,11,A1146D2952B41C0,240,10,2,,61DA,2401061DA,,,,,,,,,,,,2,5,61557,1,CRLF
reportingNode97,1608206409417,1601087801343,1,240,10,BF9DFF2D08F352C,240,10,1,,,,,,,,,,,,,,,3,1,26725,1,CRLF
reportingNode11,1594624219156,1611206233197,1,240,11,952932F4E1B6AB4,240,10,3,,,,24010F344,59155,821,59155,,,,,,,,2,1,11083,3,CRLF
reportingNode92,1594025937472,1604176610102,1,240,10,83F1CA90F99CB51,240,10,2,,164D,24010164D,,,,,,,,,,,,3,4,71333,1,CRLF
reportingNode49,1596347262349,1613653875017,1,244,10,3EBF634A486F299,240,10,0,,,,,,,,,,,,,,,1,3,29706,2,CRLF
reportingNode87,1606400192535,1607756600970,1,244,10,156F5CE568AD66E,240,10,1,,,,,,,,,,,,,,,3,3,90641,2,CRLF
reportingNode45,1602323374872,1597615077535,1,244,10,2A04D114691C620,240,10,0,,,,,,,,,,,,,,,1,3,81861,2,CRLF
reportingNode89,1597261962077,1605123260042,1,244,10,7C776D78C962911,240,10,0,,,,,,,,,,,,,,,1,6,39357,3,CRLF
reportingNode64,1606285019859,1594494555151,1,240,11,8457FA423A8BF60,240,10,3,,,,24010E536,70199,542,70199,,,,,,,,1,1,39031,1,CRLF
reportingNode61,1606106692629,1613161114468,1,240,12,8360564EF8ED271,240,10,3,,,,240101725,88494,715,88494,,,,,,,,3,1,18536,3,CRLF
reportingNode86,1604304039721,1601552261777,1,240,11,C9E992411190CB3,240,10,0,,,,,,,,,,,,,,,2,3,60138,2,CRLF
reportingNode34,1600867491544,1607762115421,1,240,11,60F13B871A0068E,240,10,1,,,,,,,,,,,,,,,3,1,96246,1,CRLF
reportingNode45,1604634630818,1600954294160,1,244,10,D026F1715CC60CE,240,10,1,,,,,,,,,,,,,,,3,4,76899,2,CRLF
reportingNode83,1598251182202,1600042744486,1,244,10,DB7F583EFBA419F,240,10,2,,D1FB,24010D1FB,,,,,,,,,,,,1,4,77685,2,CRLF
reportingNode67,1599506925964,1596243716677,1,240,12,9E47DD0F0547971,240,10,2,,DC00,24010DC00,,,,,,,,,,,,1,5,20457,3,CRLF
reportingNode60,1607014133517,1599194670435,1,240,11,78D889F8D174087,240,10,1,,,,,,,,,,,,,,,1,5,78587,1,CRLF
reportingNode18,1613530937220,1607972302678,1,244,12,B5D03DD1CE4C720,240,10,1,,,,,,,,,,,,,,,3,4,30616,1,CRLF
reportingNode22,1613493978055,1605684597388,1,240,10,D9235416654F4EF,240,10,3,,,,24010D765,17057,323,17057,,,,,,,,1,3,31998,2,CRLF
reportingNode74,1595512596723,1602868862781,1,244,10,6D511E8C52B5FD0,240,10,0,,,,,,,,,,,,,,,3,4,99624,1,CRLF
reportingNode57,1606024775685,1603332408148,1,240,12,DBD8B9A9EA38ADC,240,10,0,,,,,,,,,,,,,,,2,5,74301,1,CRLF
reportingNode32,1602858229928,1612870469364,1,240,11,D20F63036CD739B,240,10,2,,8EA6,240108EA6,,,,,,,,,,,,1,2,27311,2,CRLF
reportingNode86,1611268734980,1612464424907,1,240,12,01D902E8A3D0397,240,10,0,,,,,,,,,,,,,,,3,1,79771,3,CRLF
reportingNode76,1608350227349,1593658715919,1,240,11,A8CA72C9382FF25,240,10,3,,,,24010B07E,28384,275,28384,,,,,,,,2,6,72253,2,CRLF
reportingNode19,1594732633295,1610642230069,1,240,12,1A3C31DDDCC5733,240,10,0,,,,,,,,,,,,,,,1,4,91068,1,CRLF
reportingNode64,1604166370881,1605036615476,1,240,11,B15DEE3D991715A,240,10,2,,213E,24010213E,,,,,,,,,,,,1,4,30942,1,CRLF
reportingNode99,1613818589058,1614330384131,1,244,10,AEA82039EFCB2C6,240,10,1,,,,,,,,,,,,,,,1,2,76853,2,CRLF
reportingNode1,1604077855773,1595415533906,1,244,12,D52887F6900625F,240,10,2,,8161,240108161,,,,,,,,,,,,1,1,24470,1,CRLF
reportingNode35,1599895638573,1599135564369,1,240,10,A22A633D6AF7B9B,240,10,3,,,,240107825,27004,368,27004,,,,,,,,1,2,34073,2,CRLF
reportingNode28,1614663086356,1598387569466,1,240,11,E4505B591DF6CF3,240,10,1,,,,,,,,,,,,,,,2,3,69267,3,CRLF
reportingNode4,1609629640501,1597228670636,1,240,12,DADBED08FC15F8B,240,10,2,,72B8,2401072B8,,,,,,,,,,,,2,1,19512,2,CRLF
