reportingNode,reportTs,eventTs,eventType,hMcc,hMnc,hashedImsi,vMcc,vMnc,rat,cellName,gsmLac,gsmCid,umtsLac,umtsSac,umtsRncId,umtsCi,lteEnodeBId,lteCi,cellPortionId,locationEstimateShape,locationEstimateLat,locationEstimateLon,locationEstimateRadius,crmGender,crmAgeGroup,crmZipCode,presencePointId,groupPresencePointId
reportingNode70,1613133771571,1603319019040,1,240,10,FD58E82A0F0502F,240,10,3,,,,2401090EE,18370,845,18370,,,,,,,,1,6,78203,,CRLF
reportingNode86,1608349690222,1600644794584,1,240,10,FF88C21F2421C43,240,10,2,,1DB8,240101DB8,,,,,,,,,,,,2,4,48420,,CRLF
reportingNode94,1601872951358,1612304645106,1,240,10,61B78993AADE486,240,10,1,,,,,,,,,,,,,,,2,6,70191,,CRLF
reportingNode97,1597496002539,1603235701112,1,240,10,20E71A92F9F2DE4,240,10,2,,9851,240109851,,,,,,,,,,,,2,5,47872,,CRLF
reportingNode88,1604192902857,1604317424073,1,240,10,2804FD341B15979,240,10,1,,,,,,,,,,,,,,,3,4,32311,,CRLF
reportingNode75,1607519543600,1595011118248,1,240,10,269292D5B145568,240,10,2,,A734,24010A734,,,,,,,,,,,,1,6,42826,,CRLF
reportingNode90,1596211485121,1606363047206,1,240,10,1AEFF8C118504FC,240,10,2,,E8FA,24010E8FA,,,,,,,,,,,,1,4,90367,,CRLF
reportingNode13,1602305058420,1606428255711,1,240,10,31734235FF6B346,240,10,0,,,,,,,,,,,,,,,3,1,22830,,CRLF
reportingNode12,1612632837160,1595777399769,1,240,10,9A5C75888FAFA2B,240,10,0,,,,,,,,,,,,,,,3,3,80658,,CRLF
reportingNode12,1603777404144,1597982121826,1,240,10,A1528650B90B74C,240,10,0,,,,,,,,,,,,,,,3,3,16738,,CRLF
reportingNode33,1596617518954,1600048182824,1,240,10,7030D7A6BBC3105,240,10,3,,,,240101F02,76251,170,76251,,,,,,,,1,1,96141,,CRLF
reportingNode48,1595212436246,1614311083647,1,240,10,9F91FAE881C03A6,240,10,3,,,,24010B548,25822,396,25822,,,,,,,,1,2,90846,,CRLF
reportingNode11,1595012544400,1603734190301,1,240,10,C7A614F8A69E519,240,10,2,,BDD3,24010BDD3,,,,,,,,,,,,3,5,97178,,CRLF
reportingNode92,1605822296957,1610195716037,1,240,10,6D2745353CB05DF,240,10,0,,,,,,,,,,,,,,,2,6,35249,,CRLF
reportingNode24,1598905688054,1611439158921,1,240,10,E7574C26B5408A5,240,10,2,,FB30,24010FB30,,,,,,,,,,,,2,5,17376,,CRLF
reportingNode83,1601644070932,1593766184329,1,240,10,0BD5310C96B27D9,240,10,0,,,,,,,,,,,,,,,1,6,36600,,CRLF
reportingNode22,1594163652969,1604717028161,1,240,10,5DE10E82ED754BA,240,10,3,,,,240104C25,38514,206,38514,,,,,,,,3,2,10725,,CRLF
reportingNode37,1614581971044,1603144638675,1,240,10,A32325DF94B097A,240,10,2,,8E46,240108E46,,,,,,,,,,,,1,5,71269,,CRLF
reportingNode95,1608366327765,1597905521461,1,240,10,AA9AD2AF10BC2AA,240,10,0,,,,,,,,,,,,,,,1,6,14308,,CRLF
reportingNode46,1610253243616,1596658160979,1,240,10,905A96E2CD77A84,240,10,3,,,,240104C80,42057,680,42057,,,,,,,,1,1,17357,,CRLF
reportingNode35,1602692459818,1605276840975,1,240,10,37470130E095578,240,10,2,,94C2,2401094C2,,,,,,,,,,,,1,6,21505,,CRLF
reportingNode29,1600994897827,1596224836052,1,240,10,D9196CECE66FC32,240,10,1,,,,,,,,,,,,,,,2,1,97392,,CRLF
reportingNode26,1609500344089,1609154825645,1,240,10,1ED7F16F6CE0FC6,240,10,1,,,,,,,,,,,,,,,3,6,43314,,CRLF
reportingNode18,1603013622720,1606824497907,1,240,10,ED285333B408D59,240,10,2,,E9EB,24010E9EB,,,,,,,,,,,,3,4,13245,,CRLF
reportingNode58,1595333554897,1595840452896,1,240,10,699F5940A5B489A,240,10,3,,,,240108B0D,33489,479,33489,,,,,,,,1,6,23418,,CRLF
reportingNode61,1593312642257,1603558113189,1,240,10,3F3EB09584DD695,240,10,3,,,,2401092AD,38428,592,38428,,,,,,,,3,3,64492,,CRLF
reportingNode66,1598364269059,1607905027096,1,240,10,86C782EBC4A7FF4,240,10,1,,,,,,,,,,,,,,,2,4,94144,,CRLF
reportingNode25,1608596557819,1605658319208,1,240,10,7287ABDC01C4AF4,240,10,1,,,,,,,,,,,,,,,3,2,10408,,CRLF
reportingNode78,1614303946685,1593495142068,1,240,10,FE2981FE4FA627E,240,10,3,,,,240106C7C,15320,176,15320,,,,,,,,2,1,45785,,CRLF
reportingNode4,1602931057949,1613659268369,1,240,10,7AF2D27A9FEBF66,240,10,3,,,,2401032A8,97077,456,97077,,,,,,,,3,6,28488,,CRLF
reportingNode69,1605870613984,1595631000460,1,240,10,4562C71E9B617C3,240,10,0,,,,,,,,,,,,,,,3,6,66862,,CRLF
reportingNode9,1594238564279,1599819009804,1,240,10,131E6F1FDA692E3,240,10,3,,,,24010B6E5,11648,665,11648,,,,,,,,1,4,71670,,CRLF
reportingNode52,1596581797020,1613097366300,1,240,10,933A355A507E1B8,240,10,2,,041E,24010041E,,,,,,,,,,,,1,4,15188,,CRLF
